2026-02-13 08:54:33 +00:00: 🔌 クライアント切断: x3KRJ2pMqpcYcpDjAACt
2026-02-13 08:54:46 +00:00: 🔌 クライアント接続: BBs0BtEN1XJMHjMtAACv
2026-02-13 08:55:47 +00:00: 🔌 クライアント接続: Ti_MH8l8R8ri6R1zAACx
2026-02-13 08:56:06 +00:00: 🔌 クライアント切断: IYt3iH5F3zIx5nH_AACl
2026-02-13 08:56:17 +00:00: 🔌 クライアント切断: BBs0BtEN1XJMHjMtAACv
2026-02-13 08:57:17 +00:00: 🔌 クライアント接続: 1qxwYS7zCBmIujrkAACz
2026-02-13 08:57:23 +00:00: ✅ 新規受付: W-15 (大人1/子0/幼0)
2026-02-13 08:58:00 +00:00: ✅ 案内完了: W-15
2026-02-13 08:58:08 +00:00: 📊 統計をリセットしました
2026-02-13 09:01:13 +00:00: 🔌 クライアント接続: 9DuWhgyiDcyDBTeXAAC1
2026-02-13 09:01:19 +00:00: 🔌 クライアント接続: Cml6xROCdqU97fgfAAC3
2026-02-13 09:01:25 +00:00: 🔌 クライアント接続: Cvxzpe2BEJRLuBLlAAC5
2026-02-13 09:01:28 +00:00: 🔌 クライアント切断: 9DuWhgyiDcyDBTeXAAC1
2026-02-13 09:01:36 +00:00: 🔌 クライアント切断: Ti_MH8l8R8ri6R1zAACx
2026-02-13 09:01:43 +00:00: 🔌 クライアント切断: 1qxwYS7zCBmIujrkAACz
2026-02-13 09:01:51 +00:00: 🔌 クライアント接続: 8JGpHQ9q5R8A2yODAAC7
2026-02-13 09:01:52 +00:00: 🔌 クライアント接続: uCThy5DlSlG8TfSZAAC9
2026-02-13 09:02:04 +00:00: 🔌 クライアント接続: Uh0q8ePyQOZe7eNUAAC_
2026-02-13 09:02:29 +00:00: 🔌 クライアント切断: Uh0q8ePyQOZe7eNUAAC_
2026-02-13 09:02:29 +00:00: 🔌 クライアント切断: 8JGpHQ9q5R8A2yODAAC7
2026-02-13 09:02:29 +00:00: 🔌 クライアント切断: uCThy5DlSlG8TfSZAAC9
2026-02-13 09:03:52 +00:00: 🔌 クライアント接続: AlUgUsUyeC6buPoiAADB
2026-02-13 09:04:10 +00:00: 🔌 クライアント切断: Cvxzpe2BEJRLuBLlAAC5
2026-02-13 09:04:10 +00:00: 🔌 クライアント切断: AlUgUsUyeC6buPoiAADB
2026-02-13 09:06:44 +00:00: 🔌 クライアント接続: _lWpJnc1T4JHER9xAADD
2026-02-13 09:07:06 +00:00: 🔌 クライアント切断: Cml6xROCdqU97fgfAAC3
2026-02-13 09:12:10 +00:00: 🔌 クライアント接続: _jlShA2kDyqqZk13AADF
2026-02-13 09:12:29 +00:00: 🔌 クライアント切断: _lWpJnc1T4JHER9xAADD
2026-02-13 09:13:21 +00:00: 🔌 クライアント接続: 0nSXnGS8mKeG_uryAADH
2026-02-13 09:17:36 +00:00: 🔌 クライアント接続: 6NmhsRLkvnNw5PGRAADJ
2026-02-13 09:17:55 +00:00: 🔌 クライアント接続: NGs-hwDhooUzHy5aAADL
2026-02-13 09:17:55 +00:00: 🔌 クライアント切断: _jlShA2kDyqqZk13AADF
2026-02-13 09:18:12 +00:00: 🔌 クライアント切断: 0nSXnGS8mKeG_uryAADH
2026-02-13 09:18:23 +00:00: 🔌 クライアント接続: r1_nWuPhma9FMPuvAADN
2026-02-13 09:18:27 +00:00: 🔌 クライアント切断: NGs-hwDhooUzHy5aAADL
2026-02-13 09:18:33 +00:00: 🔌 クライアント接続: TfTiIcUAjBEx4Qx1AADP
2026-02-13 09:20:34 +00:00: 🔌 クライアント接続: JZpr5PiwE8zHH5e4AADR
2026-02-13 09:20:36 +00:00: 🔌 クライアント切断: JZpr5PiwE8zHH5e4AADR
2026-02-13 09:20:47 +00:00: 🔌 クライアント接続: Mf5tbh1ZyV-4bX6zAADT
2026-02-13 09:20:59 +00:00: 🔌 クライアント切断: TfTiIcUAjBEx4Qx1AADP
2026-02-13 09:23:01 +00:00: 🔌 クライアント接続: m4oYMm-U47_65NfyAADV
2026-02-13 09:23:13 +00:00: 🔌 クライアント接続: o6lJcvqxmbJMpUMCAADX
2026-02-13 09:23:20 +00:00: 🔌 クライアント切断: 6NmhsRLkvnNw5PGRAADJ
2026-02-13 09:23:21 +00:00: 🔌 クライアント接続: cJmyq8ub8z1cbgxpAADZ
2026-02-13 09:23:30 +00:00: 🔌 クライアント切断: Mf5tbh1ZyV-4bX6zAADT
2026-02-13 09:23:35 +00:00: 🔌 クライアント切断: o6lJcvqxmbJMpUMCAADX
2026-02-13 09:23:35 +00:00: 🔌 クライアント切断: cJmyq8ub8z1cbgxpAADZ
2026-02-13 09:23:38 +00:00: 🔌 クライアント切断: r1_nWuPhma9FMPuvAADN
